332	804	3	13.34
105	7973	7	41.79
337	1761	3	20.3
886	12	26	13.34
101	10702	5	18.69
57	484	18	89.21
103	9229	3	11.6
598	104	33	26.64
5879	775	6	87.13
111	1991	3	4.18
230	490	3	6.22
142	128	77	76.8
114	2638	3	7.26
1305	1022	3	27.15
104	7553	3	9.55
165	219	8	4.63
8268	14	5	19.07
101	6413	4	4.8
15123	12	3	18.03
11523	149	3	30.1
12	6014	3	4.6
103	2792	7	12.53
119	1085	6	10.22
9163	12	6	27.26
2245	12	15	27.71
12	4165	4	4.19
165	123	139	349.1
1317	12	31	51.37
829	121	6	9.16
119	914	5	5.34
757	109	16	26.03
10140	233	5	65.83
4472	12	5	8.19
1052	125	7	17.55
124	5554	4	25.15
119	966	29	126.91
5703	107	5	25.13
14	830	24	10.97
101	14992	3	10.04
105	3427	4	6.41
1980	112	9	32.13
2921	148	3	15.1
108	4442	3	9.55
2310	115	4	11.62
206	115	89	166.36
8729	11551	5	129.24
112	877	10	15.29
3180	106	4	7.35
17629	136	3	34.33
1622	120	7	23.88
235	1994	6	44.74
334	785	5	26.91
11711	3193	3	59.58
3252	122	6	32.38
17	1093	6	28.39
12631	103	3	14.3
113	10615	5	42.6
122	266	20	16.06
112	980	8	11.56
472	7462	3	37.29
260	277	9	24.72
8403	103	4	15.82
4282	120	3	13.57
2299	9	29	223.04
7297	101	5	9.9
103	6667	3	7.97
1074	184	7	33.94
5930	106	6	27.23
6154	110	9	63.61
301	172	9	14.26
3496	120	4	18.1
2439	120	6	25.94
935	122	5	7.84
601	6904	5	69.48
1045	1552	3	29.1
4954	105	6	20.89
189	182	13	15
11381	102	3	11.96
127	2517	5	22.11
101	5024	17	68.87
181	5589	5	46.37
180	6855	3	26.21
113	340	16	6.65
101	2970	9	6.02
10106	9	6	62.42
515	2549	10	117.1
14	11266	4	19.94
101	4964	5	4.69
110	15238	3	27.25
105	2205	7	10.57
14	2031	28	86.5
130	8904	3	22.65
2228	1265	3	34.03
145	411	6	6.2
111	4670	3	10.73
105	2153	9	17
101	10084	5	18.69
3571	8908	7	151.9
211	369	5	9.55
112	18050	3	28.34
2449	110	3	5.26
4560	102	14	58.26
5676	102	4	7.8
125	171	208	727.88
423	150	15	43.66
6545	102	4	9.47
105	2257	10	22.04
108	5339	4	17.25
125	102	1129	772.72
1457	834	8	86.95
305	785	4	18.29
14	14008	4	24.86
101	5839	11	35.96
12	6588	5	14.45
2348	264	3	20.44
113	1408	13	43.4
11263	9	5	52.01
274	304	15	60.71
220	10166	3	33.57
135	2879	4	19.21
103	1252	67	271.69
1665	3972	3	41.8
14122	357	3	42.35
139	137	55	52.41
7763	106	7	42.81
5841	122	3	17.19
1216	103	19	25.76
354	17	6	10.66
12	583	39	12.27
1439	101	23	11.56
437	117	17	21.56
970	122	8	19.65
382	101	158	86.96
6564	103	3	7.49
989	102	30	31.43
173	535	8	24.33
4454	14	5	9.04
3096	12	9	15.42
15	3707	22	256.77
107	2358	9	30.94
239	8824	6	77.07
887	140	3	4.55
1971	12	20	40.94
108	8083	4	23.25
14	5446	5	12.2
111	826	21	52.05
851	12	25	10.34
3842	1886	4	59.34
5958	12	5	12.71
14	3376	21	88.34
1685	104	9	9.8
627	104	42	53.03
1299	138	3	7.09
188	745	4	11.74
2	113	75	21.25
107	2290	4	7.41
2203	14	18	41.78
1243	149	6	24.12
108	8007	4	23.25
4726	107	3	9.9
3034	564	9	110.67
117	128	172	134.6
208	1587	4	21.57
2079	233	3	18.43
12123	14	5	31.07
118	1372	12	43.11
105	1044	37	92.18
131	1087	13	53.31
738	9013	3	42.66
57	1304	5	25.78
11485	12	3	11.5
8	8335	7	62.71
182	1	7	7.63
9371	12	4	14.78
8997	2667	3	54.06
111	646	10	7.45
15145	14	3	18.64
17245	288	3	44.6
1754	147	5	22.78
101	1576	43	78.03
113	3763	13	86.37
336	155	107	665.55
6793	14	4	10.31
101	7634	4	6.82
101	1508	22	12.25
6087	109	3	12.76
9640	239	5	63.34
111	11120	3	19.33
5553	12	6	15.9
4963	109	3	10.84
113	3695	17	124.05
3906	2760	4	64
1928	8	3	6.73
3431	104	5	9.15
119	1776	3	5.42
1984	14	22	53.96
1945	15123	3	61.94
101	17813	3	14.34
101	1425	44	65.82
104	16623	3	21.36
123	3601	4	19.64
101	1374	20	5.42
10245	12	3	10.01
12	4853	5	9.08
270	410	24	142.85
344	237	3	3.92
139	123	153	277.19
2152	12	22	54.85
4247	136	3	16.38
12	478	82	75.99
1288	12	15	7.5
340	485	19	129.93
8007	9521	3	65.94
6735	14	5	15.41
5495	12	3	3.91
1510	104	18	36.06
579	104	21	5.08
934	14	32	33.8
6987	13	4	33.24
103	1165	16	15.87
330	267	8	24.64
139	219	32	59.88
113	1442	46	285.03
106	258	245	638.79
185	6773	3	26.35
101	3833	15	35.54
190	307	6	7.89
12172	12	3	11.5
103	7485	3	9.13
106	310	67	54.14
3030	12	11	22.54
1021	9249	5	85
481	8466	3	39.11
5508	14	5	12.2
4151	12	4	4.19
478	153	16	56.65
1902	12	8	3.96
921	12	65	136.34
125	214	26	19.63
1387	493	9	84.91
423	109	25	25.77
167	826	3	6.8
5191	104	3	6.01
1615	104	10	11.7
108	3394	3	7.23
117	5151	3	14
697	104	18	6.46
283	14	96	21.06
111	2389	9	34.68
167	766	3	6.21
176	128	38	32.22
3295	125	8	48.99
4659	159	3	20.87
7866	12	3	7.18
186	415	15	57.15
125	316	35	75.06
108	5312	5	24.06
562	655	5	32.21
223	393	3	4.23
132	3656	3	14.33
10495	12	3	10.01
1784	625	8	85.38
101	10099	4	11.87
12560	104	3	14.75
264	220	5	5.66
108	11891	4	30.51
189	3911	6	51.9
106	4977	10	52.51
119	1626	4	8.22
101	17980	3	14.34
195	137	23	21.03
5229	108	6	30.61
101	1593	19	8.93
1146	103	12	6.98
119	1837	4	9.65
135	474	9	13.97
558	162	5	10.17
308	129	26	44.66
1202	9	34	191.53
2250	124	11	62.04
133	1558	3	7.46
1901	106	8	14.51
4	875	5	32.75
5696	9	15	156.05
1956	122	5	17.8
4640	103	3	4.8
124	2345	5	20.57
101	7735	5	11
135	541	14	35.79
1055	102	16	5.62
4126	106	11	52.55
113	5769	3	13.98
172	11225	4	47.06
2	320	50	202.53
9137	102	3	8.39
196	1056	8	42.65
547	236	4	11.61
161	687	27	156.05
609	403	5	26.58
590	2584	13	166.08
279	344	3	5.02
102	2558	9	12.22
196	980	3	9.74
7263	9977	7	176.63
2912	103	9	21.14
118	1523	8	25.23
442	735	8	56.42
2383	110	4	8.75
254	177	9	12.22
5614	102	3	4.28
121	563	21	56.74
111	809	18	38.75
259	574	3	8.36
7446	3692	6	122.58
7599	102	3	6.94
1066	103	22	28.71
547	110	19	22.63
131	919	9	26.64
102	2482	13	25.36
2275	102	8	7.49
182	102	181	17.28
112	3508	7	32.95
101	11368	4	14.31
107	4366	8	41.01
1167	102	40	76.14
219	21	10	4.1
196	877	9	45.29
233	124	20	12.48
4800	102	17	88.23
2285	103	14	36.21
127	774	22	86.37
195	1610	3	13.84
165	137	20	6.84
1117	103	20	24.84
1248	12801	3	50.98
757	150	10	37.08
198	103	150	58.71
108	13219	4	35.49
869	122	9	21.37
495	3027	3	28.62
127	850	68	447.72
101	204	1014	1944.05
941	106	42	122.84
2509	101	12	9.21
517	120	10	11.52
